"edcode","data_cut_off_date","original_underlying_exposure_identifier","format","spv_country","deal_vintage","unique_identifier","original_obligor_identifier","redemption_date","geographic_region_obligor","customer_type","nace_industry_code","obligor_basel_iii_segment","enterprise_size","revenue","total_debt","ebitda","free_cashflow","date_of_financials","debt_type","seniority","syndicated","origination_date","maturity_date","purpose","original_principal_balance","current_principal_balance","total_credit_limit","amortisation_type","principal_grace_period_end_date","scheduled_principal_payment_frequency","scheduled_interest_payment_frequency","payment_due","payment_due_interest","balloon_amount","interest_rate_type","current_interest_rate","current_interest_rate_index","current_interest_rate_margin","interest_rate_reset_interval","interest_rate_cap","interest_rate_floor","revision_margin_1","interest_revision_date_1","revision_margin_2","interest_revision_date_2","revision_margin_3","interest_revision_date_3","revised_interest_rate_index","arrears_balance","number_of_days_in_arrears","number_of_days_in_arrears_interest","reason_for_default_or_foreclosure","default_amount","default_date","allocated_losses","cumulative_recoveries","recovery_source","deposit_amount","percentage_of_prepayments_allowed_per_year","date_last_in_arrears","date_of_repurchase","date_of_restructuring","pool_addition_date","prepayment_date","prepayment_fee_end_date","prepayment_lockout_end_date","cumulative_prepayments","enterprise_value","market_value","prepayment_fee","prior_principal_balance","number_of_payments_before_securitisation","purchase_price","account_status","credit_impaired_obligor","current_interest_rate_tenor","geographic_region_classification","international_securities_identification_number","leveraged_transaction","managed_by_clo","new_obligor_identifier","new_underlying_exposure_identifier","original_lender_establishment_country","original_lender_legal_entity_identifier","origination_channel","originator_establishment_country","originator_legal_entity","payment_in_kind","recourse","revised_interest_rate_tenor","securitised_receivables","special_scheme","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","007-610-0111960","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","485651","","ITH41","ENEO","C31.0.9","RETL","MICE","583000","94000","28000","-77000","12/31/2021","LOLE","","","5/23/2019","5/31/2024","OTHR","23000","5805.68","","FRXX","5/31/2019","MNTH","MNTH","444.19","","","FLIF","7.1999998092651","EURI","4.5","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","5/24/2019","0","216000","","","","5","100","PERF","1","QUTR","2016","","","","485651","007-610-0111960","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","015-645-0109207","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","488057","","ITH42","CNEO","A1.1.1","SMEX","","","","","","","LOLE","","","1/24/2019","3/31/2040","OTHR","1600000","1529648.17","","FRXX","3/31/2022","QUTR","QUTR","37976.02","","","FLIF","5.0500001907349","EURI","2.9500000476837","3","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","1/25/2019","0","","","","","3","100","PERF","1","QUTR","2016","","","","488057","015-645-0109207","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","033-620-0090734","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","414379","","ITH42","ENEO","L68.2.0","RETL","MICE","36000","103000","18000","51000","12/31/2021","LOLE","","","12/1/2016","11/30/2031","OTHR","77600","47645.86","","FRXX","","MNTH","MNTH","609.51","","","FLFL","4.6999998092651","EURI","2","1","","2","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","12/2/2016","0","301000","","","","34","100","PERF","1","QUTR","2016","","","","414379","033-620-0090734","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","034-645-0058270","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","407118","","ITH42","ENEO","A1.2.1","RETL","SMAE","584000","2169000","6000","-178000","12/31/2021","LOLE","","","6/22/2006","12/31/2031","EQPI","500000","257128.61","","FRXX","12/31/2021","SEMI","SEMI","16968.54","","","FLIF","4.0999999046326","EURI","1.5","6","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","10/4/2021","10/9/2019","","","6/23/2006","0","2624000","","","","27","100","RNAR","1","SEMI","2016","","","","407118","034-645-0058270","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","040-620-0070585","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","81326","","ITH35","CNEO","F41.2.0","RETL","SMAE","148000","1003000","40000","-69000","12/31/2015","LOLE","","","4/28/2011","11/30/2027","OVRD","1400000","454774.5","","FRXX","9/30/2020","MNTH","MNTH","9360.19","","","FLIF","4.6500000953674","EURI","1.9500000476837","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","5/12/2011","","4/29/2011","150000","2124000","","","","102","100","PERF","1","QUTR","2016","","","","81326","040-620-0070585","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","067-620-0070171","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","422216","","ITH34","ENEO","G45.1.1","RETL","MICE","112000","76000","16000","0","12/31/2022","LOLE","","","1/13/2009","5/31/2025","OTHR","100000","19197.22","","FRXX","6/30/2021","MNTH","MNTH","784.56","","","FLIF","4.0999999046326","EURI","1.3999999761581","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","1/14/2009","0","344000","","","","129","100","PERF","1","QUTR","2016","","","","422216","067-620-0070171","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","101-620-0010064","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","39474","","ITH42","ENEO","L68.1.0","RETL","MICE","22000","184000","18000","-4000","12/31/2021","LOLE","","","12/31/2006","1/31/2032","OTHR","265000","96209.9","","FRXX","1/31/2007","MNTH","MNTH","1033.74","","","FLIF","2.9749999046326","EURI","0.89999997615814","3","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","3/5/2014","","1/1/2007","19093.33","519000","","","","153","100","PERF","1","QUTR","2016","","","","39474","101-620-0010064","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","025-620-0091272","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","286200","","ITH42","ENEO","P85.5.9","SMEX","MEDE","11458000","1439000","309000","-221000","12/31/2022","LOLE","","","9/26/2016","8/31/2026","OTHR","751200","282215.73","","FRXX","9/30/2016","MNTH","MNTH","7991.68","","","FLFL","5.9499998092651","EURI","2.75","1","","2.75","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","9/27/2016","0","14305000","","","","37","100","PERF","1","SEMI","2016","","","","286200","025-620-0091272","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","028-620-0091266","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","269229","2/28/2023","ITH42","ENEO","","RETL","MICE","340000","57000","104000","32000","","LOLE","","","2/22/2013","","OTHR","","0","","FRXX","","","","","","","","0","","0","","","","","","","","","","","0","0","","","0","","0","0","","0","","","","","","","","","0","247000","","","","80","","RDMD","1","","2016","","","","269229","028-620-0091266","","549300B0FLNFTFYQDJ30","","IT","549300B0FLNFTFYQDJ30","","","","PRIN","","","","","","","","","","","","","","","","","","",""
"SPV000165100820199","3/31/2023","031-620-0107408","ESMA","IT","2019","549300B0FLNFTFYQDJ30N201901","481708","","ITH42","CNEO","C31.0.9","RETL","MICE","0","0","0","0","12/31/2022","LOLE","","","11/6/2018","1/31/2030","OVRD","80000","57539.6","","FRXX","6/30/2021","MNTH","MNTH","946.62","","","FLIF","5.9000000953674","EURI","3.2000000476837","1","","","","","","","","","","0","0","","","0","","0","0","","0","100","","","","10/9/2019","","","11/7/2018","0","0","","","","11","100","PERF","1","QUTR","2016","","","","481708","031-620-0107408","IT","549300B0FLNFTFYQDJ30","BRAN","IT","549300B0FLNFTFYQDJ30","","1","","PRIN","","","","","","","","","","","","","","","","","","",""
